One Star Pawn - Updated Reference Tables,
Version,Data-driven active NPC rotation with directional entry and exit
Purpose,"Reference CSV set for customer archetypes, sprites, commerce behavior, item definitions, item pools, events, and inventory instance structure."
How to use,"Keep IDs short, lowercase, and unique. Treat these CSV files as design source-of-truth; regenerate gameData.js with .\scripts\generate-game-data.ps1."
Important,The active gameplay rotation is data-driven from Characters.csv active_in_rotation=True rows. No JavaScript customer whitelist or sprite alias map should be updated.
Runtime note,"Do not parse CSV files in the browser MVP. No fetch, PapaParse, npm packages, or build tooling."
,
Sheet,What it does
Characters,"Defines customer identity/archetype, money range, trust, risk bias, preferred tags, direct sprite path, facing direction, and active rotation flag."
Character_Commerce_Traits,"Defines per-character buy/sell/trade weights, interests, tolerances, and trade behavior."
Items,"Defines item catalog: category, condition, prices, heat, tags, and descriptions."
Character_Item_Pools,"Bridge table: which characters can offer/request items, deal direction, odds, price behavior, and trade cash adjustment."
Event_Blueprint,Optional starter structure for dialogue and choice effects.
Inventory_Instance_Schema,Required runtime shape for shop-owned inventory items.
Lists,Dropdown/reference values.
,
Active sprite mappings,,
character_id,sprite_path,facing
70s_hustler,assets/sprites/70s-hustler-idle_r.png,right
bum,assets/sprites/bum-idle_l.png,left
crackhead,assets/sprites/crackhead-idle_l.png,left
hitman,assets/sprites/hitman-idle_l.png,left
junkie,assets/sprites/junkie-idle_r.png,right
red_hustler,assets/sprites/red-hustler-idle_l.png,left
slot_grandma,assets/sprites/slot-grandma-idle_r.png,right
""
Adding an NPC,
1,Add a transparent customer PNG under assets/sprites/ using the required _r or _l facing suffix.
2,Add a character row with a direct sprite_path matching the real asset exactly and set facing to right or left.
3,Add or reference commerce traits.
4,Add item-pool rows that can produce at least one valid deal.
5,Add or reference event data.
6,Regenerate gameData.js with .\scripts\generate-game-data.ps1.
7,"Run runtime validation and confirm the filename suffix, facing value, entry side, and exit side agree."
""
Rules,
No JavaScript whitelist should be updated.,
No alias PNG should be created.,
Customer sprite filenames used in active rotation must end in _r.png or _l.png.,
"_r means the sprite faces right, enters from the left, idles on the left side, and exits to the left.",
"_l means the sprite faces left, enters from the right, idles on the right side, and exits to the right.",
The facing field in Characters.csv must match the filename suffix.,
The filename stored in the data must match the real asset exactly.,
clerk-idle.png is exempt because the clerk does not enter or exit the customer stage.,
""
Directional runtime mapping,
right,entry_side=left; idle_side=left; exit_side=left
left,entry_side=right; idle_side=right; exit_side=right
""
Deal direction glossary,
sell_to_shop,NPC sells/offers item to the pawn shop; shop may buy it.
buy_from_shop,NPC wants to buy an item from shop inventory.
trade,NPC offers/request items and may include cash adjustment.
